x,y
3005,95
3006,100
3007,102
3008,102
3009,102
3010,102
3011,102
3012,104
3013,104
3014,99
3015,98
3016,96
3017,99
3018,102
3019,97
3020,94
3021,88
3022,87
3023,89
3024,90
3025,90
3026,89
3027,89
3028,87
3029,84
3030,82
3031,83
3032,83
3033,85
3034,86
3035,86
3036,87
3037,87
3038,87
3039,84
3040,84
3041,87
3042,91
3043,91
3044,92
3045,92
3046,92
3047,92
3048,93
3049,95
3050,97
3051,99
3052,99
3053,99
3054,99
3055,101
3056,100
3057,100
3058,99
3059,102
3060,102
3061,104
3062,108
3063,111
3064,114
3065,107
3066,100
3067,94
3068,91
3069,96
3070,97
3071,100
3072,98
3075,98
3076,100
3077,102
3078,107
3079,107
3080,112
3081,116
3082,118
3083,123
3084,128
3085,131
3086,136
3087,138
3088,138
3089,143
3090,146
3091,148
3092,149
3093,149
3094,152
3095,158
3096,162
3097,168
3098,170
3099,173
3100,176
3101,182
3102,184
3103,189
3104,188
3105,188
3106,191
3107,196
3108,201
3109,208
3110,214
3111,218
3112,223
3113,227
3114,231
3115,235
3116,236
3117,236
3118,235
3119,239
3120,241
3121,246
3122,250
3123,252
3124,255
3125,257
3126,262
3127,268
3128,271
3129,277
3130,279
3131,280
3132,280
3133,278
3134,284
3135,288
3136,292
3137,298
3138,300
3139,303
3140,308
3141,313
3142,314
3143,320
3144,323
3145,326
3146,328
3147,325
3148,325
3149,330
3150,331
3151,336
3152,340
3153,339
3154,344
3155,347
3156,350
3157,355
3158,356
3159,360
3160,361
3161,362
3162,368
3163,370
3164,375
3165,377
3166,378
3167,380
3168,385
3169,388
3170,392
3171,391
3172,392
3173,395
3174,396
3175,400
3176,401
3177,406
3178,405
3179,408
3180,411
3181,415
3182,417
3183,419
3184,419
3185,419
3186,421
3187,424
3188,425
3189,427
3190,427
3191,425
3192,421
3193,419
3194,412
3195,415
3196,417
3197,417
3198,413
3199,410
3200,408
3201,412
3202,417
3203,420
3204,419
3205,415
3206,412
3207,410
3208,414
3209,414
3210,414
3211,414
3212,416
3213,417
3214,419
3215,420
3216,425
3217,427
3218,429
3219,434
3220,436
3221,439
3222,441
3223,441
3224,445
3225,447
3226,448
3227,448
3228,448
3229,449
3230,451
3231,453
3232,453
3233,453
